State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
AK,West,Pacific,Haines Borough,2100,02100,Region 22,1/1/2014,,0.118,3.1,2,,0.141,0.296,8.192,0.227,0.844,0.16,1,195.8,,0.282,196,39,196,,0.62,0.61,,0.659,0.081,0.176,,0.196,,541.11,,,0.363,0.174,0.607,0.169,2552,0.004,1,0.083,,346.2,,,0.124,0.049,,,0.317,0.169,8556,0.117,78,49890,0.4,,0.169
AK,West,Pacific,Haines Borough,2100,02100,Region 22,1/1/2015,7745,0.118,3.1,2,,0.141,0.284,7.7,0.191,0.844,0.16,1,666.1,,0.311,196,39,386,,0.65,0.63,,0.526,0.079,0.178,3.153,0.348,15.674,413.84,80,,0,0.191,0.636,0.152,2592,0.003,1,0.082,,374.7,,,0.134,0.049,,,0.346,0.198,6270,0.117,39,55295,0.408,,
AK,West,Pacific,Juneau Borough,2110,02110,Region 22,1/1/2014,5867,0.115,3.5,3,0.05,0.175,0.26,8.342,0.17,1,0.209,0.375,506.8,27.2,0.204,118,90,374,48.23,0.84,0.67,0.72,0.748,0.049,0.11,,0.357,,460.03,65.9,,0,0.15,0.656,0.05,32556,0.01,0.215,0.063,94.8,286,,54,0.11,0.061,6.92,12.91,0.236,0.117,6986,0.103,86,76967,0.217,,0.165
AK,West,Pacific,Juneau Borough,2110,02110,Region 22,1/1/2015,6418,0.115,3.5,3,0.05,0.175,0.269,8,0.158,1,0.209,0.375,586.7,25.6,0.188,117,92,472,39.41,0.83,0.62,0.7,0.749,0.046,0.097,3.147,0.337,18.123,425.5,65.2,,0,0.156,0.662,0.04,32660,0.011,0.215,0.066,94.8,292.9,,40.7,0.114,0.061,5.92,15.49,0.216,0.111,6463,0.103,86,83642,0.237,,
AK,West,Pacific,Kenai Peninsula Borough,2122,02122,Region 22,1/1/2014,8656,0.137,3.6,3,0.05,0.212,0.275,7.927,0.237,0.606,0.185,0.306,275.3,30.2,0.23,78,61,72,51.5,0.79,0.54,0.73,0.608,0.084,0.148,,0.304,,,90.6,,0.046,0.198,0.696,0.161,56900,0.004,0.793,0.067,62.2,385.4,6,68.5,0.132,0.059,18.53,17.19,0.268,0.131,7872,0.156,97,60431,0.277,4.03,0.167
AK,West,Pacific,Kenai Peninsula Borough,2122,02122,Region 22,1/1/2015,6917,0.137,3.6,3,0.05,0.212,0.275,7.7,0.217,0.746,0.185,0.269,358.5,29.6,0.245,81,65,133,41.31,0.81,0.56,0.79,0.621,0.075,0.139,4.397,0.286,15.641,,97.1,,0.034,0.201,0.69,0.161,57147,0.003,0.793,0.066,62.2,332.4,,38.1,0.129,0.059,17.51,15.94,0.278,0.159,7129,0.156,94,61629,0.287,2.7,
AK,West,Pacific,Ketchikan Gateway Borough,2130,02130,Region 22,1/1/2014,8422,0.144,3.6,3.2,0.05,0.225,0.292,8.327,0.22,1,0.212,0.75,588.5,30.4,0.259,96,57,163,86.73,0.79,0.52,0.675,0.609,0.068,0.156,,0.328,,370.89,74.7,,0.943,0.192,0.592,0.09,13779,0.008,0.232,0.072,60,442.6,,100.1,0.138,0.009,,,0.304,0.142,9043,0.161,51,61296,0.323,,0.209
AK,West,Pacific,Ketchikan Gateway Borough,2130,02130,Region 22,1/1/2015,7269,0.144,3.6,3.2,0.05,0.225,0.28,8,0.207,1,0.212,0.75,508,29.8,0.247,94,58,219,50.92,0.82,0.6,0.77,0.604,0.061,0.143,3.804,0.276,19.595,351.61,83,,0.93,0.17,0.611,0.087,13729,0.006,0.232,0.076,60,389.6,,,0.141,0.009,,12.73,0.284,0.147,7968,0.161,66,62619,0.358,,
AK,West,Pacific,Kodiak Island Borough,2150,02150,Region 22,1/1/2014,6891,0.132,2.8,2.1,0.06,0.198,0.301,7.957,0.2,0.986,0.267,0.6,483,32.2,0.296,144,68,109,77.32,0.8,0.53,0.78,0.708,0.062,0.118,,0.341,,,55.5,,0.016,0.22,0.611,0.017,14239,0.03,0.313,0.061,,314.6,,,0.142,0.037,,,0.349,0.179,7044,0.134,56,61498,0.349,,0.246
AK,West,Pacific,Kodiak Island Borough,2150,02150,Region 22,1/1/2015,6075,0.132,2.8,2.1,0.06,0.198,0.315,7.8,0.212,0.986,0.267,0.75,456.5,31.8,0.277,133,64,248,67.31,0.82,0.57,0.8,0.659,0.056,0.098,3.856,0.337,13.344,,62.8,,0.004,0.219,0.609,0.021,14135,0.034,0.313,0.063,,291.2,,,0.137,0.037,,10.55,0.32,0.177,7249,0.134,50,64782,0.377,,
AK,West,Pacific,Lake and Peninsula Borough,2164,02164,Insuff Data,1/1/2014,,,2.8,2.6,,0.252,0.315,3.207,0.281,0.471,0.194,0,1199,52,0.359,0,0,59,,,,,0.624,0.075,0.235,,0.349,,,320.9,,0.398,0.357,0.187,0,1654,0.008,1,0.084,,615.6,,,0.161,0.459,,,0.434,0.204,7014,0.247,242,44657,0.625,,
AK,West,Pacific,Lake and Peninsula Borough,2164,02164,Insuff Data,1/1/2015,,,2.8,2.6,,0.252,0.326,2.7,0.249,0.471,0.194,0,1088.3,49.1,0.337,0,0,61,,,,,0.539,0.074,0.244,4.691,0.452,6.046,,159.1,,0.594,0.33,0.197,0,1648,0.009,1,0.082,,546.1,,,0.169,0.459,,,0.406,0.197,5153,0.247,182,43936,,,
AK,West,Pacific,Matanuska-Susitna Borough,2170,02170,Region 22,1/1/2014,6519,0.133,3.7,3.3,0.06,0.262,0.298,8.101,0.247,0.337,0.183,0.339,467.7,32.5,0.217,52,43,63,55.06,0.78,0.59,0.7,0.612,0.08,0.126,,0.237,,,79.5,,0.022,0.195,0.716,0.408,93925,0.006,0.503,0.068,39.8,338.5,4.2,50.2,0.124,0.058,14.69,16.28,0.266,0.111,7057,0.17,63,68109,0.264,4.95,0.169
AK,West,Pacific,Matanuska-Susitna Borough,2170,02170,Region 22,1/1/2015,6983,0.133,3.7,3.3,0.06,0.262,0.298,7.9,0.223,0.475,0.183,0.288,458.9,32.6,0.217,53,47,112,55.5,0.82,0.59,0.72,0.613,0.073,0.12,4.147,0.242,9.05,,79.9,,0.292,0.195,0.714,0.406,95192,0.006,0.503,0.078,39.8,356,4.8,48.4,0.123,0.058,11.22,18.98,0.254,0.138,6594,0.17,67,72371,0.277,4.8,
AK,West,Pacific,Nome Census Area,2180,02180,Region 22,1/1/2014,17794,0.164,3.7,2.4,0.07,0.401,0.356,3.28,0.255,0.16,0.19,0.857,2130.7,96.7,0.289,91,69,453,,0.88,0.52,0.593,0.416,0.116,0.333,,0.469,,,174.1,,0.466,0.429,0.255,0.002,9915,0.016,0.661,0.078,,671.4,12.8,163.5,0.209,0.36,15.34,,0.373,0.148,7847,0.131,141,47022,0.721,,0.387
AK,West,Pacific,Nome Census Area,2180,02180,Region 22,1/1/2015,15939,0.164,3.7,2.4,0.07,0.401,0.341,3,0.252,0.16,0.19,0.8,2854.3,94,0.284,101,61,586,101.84,0.88,0.51,0.605,0.43,0.117,0.284,5.043,0.503,8.069,,194.5,,0.316,0.401,0.235,0.003,9892,0.011,0.661,0.073,,609.3,12.2,143.3,0.203,0.36,18.1,,0.366,0.149,8058,0.131,162,46471,0.782,,
AK,West,Pacific,North Slope Borough,2185,02185,Region 22,1/1/2014,10564,0.2,3.3,1.7,0.07,0.453,0.356,7.944,0.274,0.647,0.147,,1189.1,100.2,0.241,21,49,,,0.4,0.32,0.575,0.545,0.053,0.179,,0.509,,921.62,106.3,,0,0.408,0.165,0.005,9643,0.023,0.593,0.076,,435.7,,177.6,0.142,0.038,18.2,,0.28,0.127,6898,0.179,62,69138,0.342,,0.454
AK,West,Pacific,North Slope Borough,2185,02185,Region 22,1/1/2015,8471,0.2,3.3,1.7,0.07,0.453,0.342,7.5,0.255,0.647,0.147,,1171.8,92.2,0.254,31,52,,105.35,0.4,0.43,0.575,0.538,0.05,0.167,3.399,0.475,9.333,813.43,92.4,,0,0.366,0.187,0.026,9686,0.019,0.593,0.074,,407.8,,142,0.148,0.038,,,0.295,0.138,6928,0.179,62,74174,0.339,,
AK,West,Pacific,Northwest Arctic Borough,2188,02188,Insuff Data,1/1/2014,13604,0.188,4.5,1.8,0.07,0.482,0.297,3.657,0.299,0.218,0.212,1,2754.4,96,0.292,26,37,354,,,,0.475,0.373,0.151,0.273,,0.424,,,195.4,,0.814,0.525,0.133,0.022,7810,0.013,0.575,0.072,,560.9,,132.9,0.209,0.323,,,0.384,0.142,11320,0.149,154,52945,0.71,,0.401
AK,West,Pacific,Northwest Arctic Borough,2188,02188,Insuff Data,1/1/2015,12342,0.188,4.5,1.8,0.06,0.482,0.297,3.3,0.268,0.218,0.212,0.667,2778.5,94.7,0.302,26,39,755,,,,0.525,0.357,0.152,0.286,4.526,0.441,10.243,,168.4,,0.854,0.538,0.146,0.003,7685,0.01,0.575,0.068,,494.7,,92.1,0.203,0.323,,,0.394,0.16,10770,0.149,156,54600,0.802,,
AK,West,Pacific,Prince of Wales-Outer Ketchikan Census Area,2198,02198,Insuff Data,1/1/2014,8689,0.207,4.7,2.8,0.05,0.312,0.337,6.631,0.264,1,0.2,0.5,,50.5,0.324,70,17,52,,0.58,0.45,,0.496,0.141,0.252,,0.405,,,83.6,,0.627,0.193,0.538,0.103,5751,0.001,1,0.076,,389.8,,,0.187,0.078,,,0.379,0.183,6114,0.162,174,44721,0.514,,0.215
AK,West,Pacific,Prince of Wales-Outer Ketchikan Census Area,2198,02198,Insuff Data,1/1/2015,9718,0.207,4.7,2.8,0.05,0.312,0.355,6.5,0.26,1,0.2,0.5,399.9,47.9,0.314,70,35,52,46.15,0.55,0.42,,0.443,0.128,0.241,4.528,0.41,13.911,,85.8,,0.487,0.2,0.531,0.116,5786,0.001,1,0.074,,464,,,0.174,0.078,,,0.363,0.189,7002,0.162,156,48175,0.476,,
AK,West,Pacific,Sitka Borough,2220,02220,Region 22,1/1/2014,7377,0.11,3.1,2.5,0.05,0.213,0.282,8.008,0.187,1,0.246,1,391,27.2,0.253,201,118,623,64.9,0.77,0.64,0.846,0.695,0.056,0.112,,0.317,,249.87,108,,0.005,0.194,0.56,0.03,9046,0.014,0.209,0.075,80.1,336.9,,,0.128,0.059,,19.25,0.293,0.142,8995,0.075,155,61771,0.295,,0.13
AK,West,Pacific,Sitka Borough,2220,02220,Region 22,1/1/2015,8419,0.11,3.1,2.5,0.06,0.213,0.288,7.7,0.172,1,0.246,1,210,28.4,0.253,199,133,1053,81.11,0.8,0.53,0.826,0.736,0.052,0.126,3.987,0.293,17.687,226.11,103.2,,0,0.202,0.568,0.034,9020,0.019,0.209,0.075,80.1,341.6,,,0.129,0.059,,,0.292,0.148,8989,0.075,155,66038,0.322,,
AK,West,Pacific,Skagway-Hoonah-Angoon Census Area,2230,02230,Insuff Data,1/1/2014,10398,0.1,2.9,1.9,,0.227,0.302,5.046,0.23,0.973,0.292,,229.7,28.5,0.302,,0,128,,0.64,0.52,,0.644,0.14,0.216,,0.377,,,151.5,,0.076,0.212,0.381,0.022,3088,0.006,1,0.086,,354.8,,,0.192,0.222,,,0.334,0.186,6999,0.152,227,48137,0.315,,0.207
AK,West,Pacific,Skagway-Hoonah-Angoon Census Area,2230,02230,Insuff Data,1/1/2015,6775,0.1,2.9,1.9,0.05,0.227,0.309,5,0.205,0.973,0.292,,,26.3,0.312,,0,191,,,0.5,,0.61,0.127,0.237,4.039,0.397,12.953,,128.5,,0.059,0.226,0.389,0.016,3140,0.004,1,0.08,270.1,328.7,,,0.174,0.222,,,0.343,0.196,5014,0.152,318,49138,0.403,,
AK,West,Pacific,Southeast Fairbanks Census Area,2240,02240,Region 22,1/1/2014,5734,0.154,4,2.2,0.06,0.216,0.317,7.112,0.227,0.198,0.145,0.444,280.4,37.3,0.271,56,40,27,34.58,0.85,0.54,0.643,0.605,0.112,0.187,,0.224,,,63.5,,0.282,0.225,0.623,0.137,7144,0.017,1,0.067,101.4,327.4,,,0.156,0.092,25.42,,0.323,0.15,6509,0.13,70,56456,0.32,,0.173
AK,West,Pacific,Southeast Fairbanks Census Area,2240,02240,Region 22,1/1/2015,7098,0.154,4,2.2,0.06,0.216,0.325,6.8,0.2,0.274,0.145,0.333,266,37.6,0.297,56,57,115,29.16,0.78,0.43,0.508,0.619,0.111,0.213,4.848,0.274,11.198,,59.7,,0.79,0.255,0.599,0.11,6985,0.02,1,0.067,101.4,366.7,,,0.154,0.092,22.48,,0.345,0.183,5454,0.13,57,54922,0.338,,
AK,West,Pacific,Valdez-Cordova Census Area,2261,02261,Region 22,1/1/2014,7734,0.172,4.4,3.4,0.04,0.232,0.283,7.593,0.238,0.468,0.218,0.5,583.4,25.5,0.244,51,40,50,37.29,0.86,0.54,,0.662,0.089,0.114,,0.395,,459.06,100,,0.01,0.194,0.669,0.077,9717,0.014,1,0.067,,376.6,,116.9,0.123,0.109,17.68,,0.281,0.148,8272,0.138,103,65098,0.251,,0.203
AK,West,Pacific,Valdez-Cordova Census Area,2261,02261,Region 22,1/1/2015,5754,0.172,4.4,3.4,0.05,0.232,0.297,7.4,0.242,0.753,0.218,0.6,648.3,24.5,0.248,72,41,61,44.9,0.84,0.55,0.872,0.69,0.087,0.109,4.61,0.363,18.524,343.61,72.8,,0.019,0.19,0.666,0.07,9763,0.014,1,0.061,,325.8,,,0.123,0.109,,,0.283,0.156,6526,0.138,102,63541,0.286,,
AK,West,Pacific,Wade Hampton Census Area,2270,02270,Insuff Data,1/1/2014,18391,0.25,5.6,3.5,0.06,0.361,0.276,1.542,0.272,0.978,0.092,0.5,2701.6,103.4,0.301,,,115,,,,0.457,0.276,0.215,0.372,,0.422,,,224.4,,0.491,0.691,0.039,0.039,7809,0.019,1,0.067,115,678.8,14.6,295.3,0.254,0.441,,,0.441,0.123,7610,0.308,38,32860,0.635,19.37,0.574
AK,West,Pacific,Wade Hampton Census Area,2270,02270,Insuff Data,1/1/2015,18440,0.25,5.6,3.5,0.06,0.361,0.346,1.2,0.279,0.978,0.092,0.333,2369.1,107.1,0.301,,,138,,,,0.439,0.263,0.221,0.424,4.014,0.411,6.403,,219.6,,0.264,0.711,0.05,0.05,7977,0.016,1,0.059,115,650.3,18.8,277.7,0.246,0.441,,,0.433,0.131,5049,0.308,38,31274,0.887,24.2,
AK,West,Pacific,Wrangell-Petersburg Census Area,2275,02275,Insuff Data,1/1/2014,9208,0.132,3.5,3.3,0.06,0.187,0.309,8.332,0.217,1,0.196,,,33,0.252,145,79,190,,0.9,0.56,0.826,0.7,0.098,0.162,,0.28,,381.38,97.2,,0.068,0.108,0.579,0.008,6247,0.01,1,0.077,,385.9,,,0.133,0.018,,25.3,0.29,0.147,9860,0.13,32,53745,0.437,,0.226
AK,West,Pacific,Wrangell-Petersburg Census Area,2275,02275,Insuff Data,1/1/2015,5807,0.132,3.5,3.3,0.06,0.187,0.301,7.9,0.2,1,0.196,,416.2,35.9,0.251,144,97,259,,0.93,0.64,,0.654,0.092,0.159,4.647,0.375,16.008,266.39,84.1,,0.068,0.113,0.572,0.016,6174,0.008,1,0.08,,302.1,,,0.142,0.018,,,0.285,0.156,9542,0.13,32,54624,0.43,,
AK,West,Pacific,Yukon-Koyukuk Census Area,2290,02290,Region 22,1/1/2014,16527,0.194,4.4,2.5,0.05,0.405,0.29,1.878,0.263,0.334,0.253,0.125,1679.6,60.2,0.363,53,34,69,,0.5,0.42,0.509,0.49,0.147,0.307,,0.483,,,220.3,,0.193,0.534,0.294,0.076,5770,0.005,1,0.082,,651.9,,,0.206,0.501,,,0.45,0.176,6852,0.221,191,33998,0.267,,0.372
AK,West,Pacific,Yukon-Koyukuk Census Area,2290,02290,Region 22,1/1/2015,16555,0.194,4.4,2.5,0.04,0.405,0.263,1.6,0.256,0.334,0.253,0.167,1195.8,61.5,0.368,52,35,105,33.43,0.69,0.56,0.526,0.466,0.148,0.301,5.635,0.512,6.932,,245.6,,0.182,0.525,0.29,0.099,5695,0.006,1,0.078,,653.2,,,0.197,0.501,,,0.448,0.193,6249,0.221,176,35114,0.119,,
AL,South,East South Central,Autauga County,1001,01001,Region 16,1/1/2014,8376,0.228,5.1,3.6,0.09,0.217,0.305,7.445,0.294,0.593,0.167,0.255,446.9,39,0.139,38,27,2,75.15,0.87,0.67,0.8,0.547,0.065,0.185,,0.301,,302.91,69.6,12.92,0,0.117,0.878,0.419,55514,0.004,0.42,0.118,181.1,439.5,9,59.2,0.136,0.098,23.92,7.42,0.18,0.047,10219,0.156,18,51441,0.361,3.57,0.237
AL,South,East South Central,Autauga County,1001,01001,Region 16,1/1/2015,8405,0.228,5.1,3.6,0.09,0.217,0.313,7.2,0.279,0.737,0.167,0.333,508,36.5,0.128,32,29,14,79.74,0.85,0.69,0.81,0.56,0.057,0.196,4.172,0.296,13.15,253.64,73.3,12.92,0,0.123,0.885,0.42,55246,0.005,0.42,0.121,181.1,431.9,8,41.2,0.135,0.098,21.25,8.23,0.169,0.037,9939,0.156,18,51868,0.383,4.6,
AL,South,East South Central,Baldwin County,1003,01003,Region 16,1/1/2014,7770,0.127,3.3,3.8,0.09,0.206,0.266,7.993,0.276,0.58,0.179,0.319,301.5,46.4,0.166,75,44,46,54.27,0.8,0.67,0.74,0.618,0.068,0.205,,0.279,,213.3,76.2,13.13,0.042,0.135,0.832,0.352,190790,0.018,0.423,0.118,188.1,365,6.4,58.7,0.131,0.055,19.98,14.71,0.209,0.056,9624,0.144,27,48867,0.368,4.18,0.193
AL,South,East South Central,Baldwin County,1003,01003,Region 16,1/1/2015,7457,0.127,3.3,3.8,0.09,0.206,0.25,7.6,0.252,0.736,0.179,0.303,357.5,44.5,0.158,75,47,80,51.36,0.81,0.66,0.74,0.625,0.058,0.208,4.417,0.292,11.636,220.67,74.5,13.13,0.012,0.141,0.837,0.349,195540,0.016,0.423,0.115,188.1,360.8,6.4,56.2,0.135,0.055,16.57,15.29,0.199,0.054,9502,0.144,29,47539,0.344,4.3,
AL,South,East South Central,Barbour County,1005,01005,Insuff Data,1/1/2014,9458,0.234,4.8,4.3,0.12,0.251,0.373,5.403,0.35,0.115,0.135,0.476,873.9,73.8,0.189,44,33,3,101.23,0.88,0.65,0.606,0.414,0.112,0.47,,0.559,,154.33,52.7,12.62,0.317,0.168,0.827,0.315,27201,0.022,0.678,0.142,388.1,459.3,12.8,105.3,0.23,0.114,26.17,,0.242,0.061,10809,0.169,11,30287,0.664,5.13,0.176
AL,South,East South Central,Barbour County,1005,01005,Insuff Data,1/1/2015,8901,0.234,4.8,4.3,0.12,0.251,0.384,5,0.323,0.441,0.135,0.435,716.9,72.9,0.175,44,37,4,86.93,0.86,0.62,0.697,0.423,0.1,0.424,5.474,0.558,8.456,146.89,56.1,12.62,0.526,0.186,0.822,0.331,27076,0.022,0.678,0.148,388.1,443.7,13.5,84.1,0.227,0.114,18.67,,0.228,0.045,10414,0.169,11,30981,0.697,,
AL,South,East South Central,Bibb County,1007,01007,Insuff Data,1/1/2014,11544,0.179,4.7,5.1,0.13,0.259,0.343,7.799,0.37,0.183,0.112,0.276,465.6,49.3,0.16,22,16,,89.56,0.83,0.62,0.73,0.442,0.076,0.272,,0.393,,254.24,98.1,12.87,0,0.095,0.823,0.497,22597,0.005,0.684,0.111,106.7,541.8,11.2,103.9,0.158,0.021,33.79,16.58,0.2,0.057,10809,0.163,4,37392,0.535,7.65,0.291
AL,South,East South Central,Bibb County,1007,01007,Insuff Data,1/1/2015,10729,0.179,4.7,5.1,0.13,0.259,0.373,7.6,0.332,0.394,0.112,0.31,371.7,50.9,0.151,27,18,,70.85,0.83,0.62,0.8,0.5,0.068,0.356,4.514,0.372,10.621,235.95,80.8,12.87,0,0.096,0.832,0.475,22512,0.004,0.684,0.127,106.7,539.7,13.9,108,0.154,0.021,25.87,18.93,0.193,0.042,10825,0.163,9,39781,0.546,7.8,
AL,South,East South Central,Blount County,1009,01009,Region 16,1/1/2014,8506,0.242,5.9,3.9,0.08,0.213,0.304,8.648,0.35,0.152,0.055,0.233,175.1,47.6,0.181,19,19,3,90.97,0.84,0.63,0.81,0.463,0.062,0.231,,0.253,,164.46,89.3,12.66,0.034,0.126,0.805,0.603,57826,0.028,0.9,0.14,92.8,426.2,6.6,63.9,0.121,0.011,28.3,13,0.227,0.069,10510,0.173,5,44225,0.439,4.08,0.143
AL,South,East South Central,Blount County,1009,01009,Region 16,1/1/2015,8669,0.242,5.9,3.9,0.08,0.213,0.309,8.5,0.298,0.255,0.055,0.18,160.8,47.2,0.183,29,19,5,84.79,0.86,0.6,0.851,0.492,0.056,0.266,3.984,0.276,8.647,219.03,91.9,12.66,0,0.118,0.833,0.584,57872,0.023,0.9,0.132,92.8,430.5,6.3,49.8,0.118,0.011,25.57,18.3,0.233,0.059,10281,0.173,7,44392,0.442,4.3,
AL,South,East South Central,Bullock County,1011,01011,Insuff Data,1/1/2014,9884,0.23,4.2,,0.14,0.378,0.421,3.702,0.325,0.288,,0.4,1403.9,85.1,0.157,28,16,8,90.63,0.81,0.49,0.725,0.36,0.134,0.432,,0.654,,333.96,102.5,12.75,0.155,0.141,0.841,0.446,10474,0.032,0.514,0.175,409.1,514.8,,,0.27,0.202,58.66,,0.208,0.04,8941,0.167,67,25854,0.901,,
